draft_year,draft_pick,name,school,nba_team,nba_position,height,weight,nba_games,nba_minutes,nba_fg_pct,nba_3pt_fgm,nba_3pt_fga,nba_3pt_fg_pct,nba_ft_pct,nba_years,nba_mpg,nba_ppg,nba_rpg,nba_apg,nba_spg,nba_bpg,nba_topg,nba_pp36,nba_rp36,nba_ap36,nba_sp36,nba_bp36,nba_top36,nba_pfp36,nba_pp100p,nba_rp100p,nba_ap100p,nba_sp100p,nba_bp100p,nba_per,nba_ows,nba_dws,nba_tws,nba_wsp48,rk_games,rk_minutes,rk_fgm,rk_fga,rk_fg_pct,rk_3pt_fgm,rk_3pt_fga,rk_3pt_fg_pct,rk_ftm,rk_fta,rk_ft_pct,rk_points,rk_reb,rk_assist,rk_to,rk_mpg,rk_ppg,rk_rpg,rk_apg,rk_spg,rk_bpg,rk_topg,rk_pfpg,rk_pp36,rk_rp36,rk_ap36,rk_sp36,rk_bp36,rk_top36,rk_pfp36,rk_pp100p,rk_rp100p,rk_ap100p,rk_sp100p,rk_bp100p,rk_top100p,rk_pfp100p,rk_per,rk_ows,rk_dws,rk_tws,rk_wsp48,rk_team_wins,rk_team_losses,nba_allstar,nba_allstar_num,nba_22_ppg_seasons,nba_10_rpg_seasons,nba_7_apg_seasons,nba_2_spg_seasons,nba_2_bpg_seasons,coll_games,coll_minutes,coll_fgm,coll_fga,coll_fg_pct,coll_3pm,coll_3pa,coll_3pt_pct,coll_ftm,coll_fta,coll_ft_pct,coll_pts_c,coll_reb_c,coll_ast_c,coll_stl_c,coll_blk_c,coll_to_c,coll_pf_c,coll_years,coll_mpg,coll_fgm_game,coll_fga_game,coll_ppg,coll_rpg,coll_apg,coll_spg,coll_bpg,coll_topg,coll_pfpg
1995,2,"McDyess, Antonio",Alabama,Los Angeles Clippers,PF,81,220,"1,015","28,053",49.70%,7,60,11.70%,67.00%,15,27.6,12,7.5,1.3,0.8,1.1,1.6,15.7,9.8,1.7,1,1.4,2.1,3.9,23.1,14.4,2.5,1.5,2.1,17.2,31.5,38.3,69.8,0.119,76,"2,280",427,881,48.50%,0,4,0.00%,166,243,68.30%,"1,020",572,75,154,30,13.4,7.5,1,0.7,1.5,2,3.3,16.1,9,1.2,0.9,1.8,2.4,3.9,23.3,13.1,1.7,1.2,2.6,3.5,5.7,15.6,0.9,2.7,3.6,0.075,35,47,Yes,1,0,2,0,0,1,59,"1,479",317,595,53.30%,,,,120,192,62.50%,754,547,32,57,105,131,181,2,25.1,5.4,10.1,12.8,9.3,0.5,1,1.8,2.2,3.1
1992,11,"Horry, Robert",Alabama,Houston Rockets,PF,81,220,"1,107","27,069",42.50%,795,"2,329",34.10%,72.60%,16,24.5,7,4.8,2.1,1,0.9,1.2,10.3,7,3.1,1.5,1.4,1.8,3.6,14.8,10.1,4.5,2.2,2,13.4,23.3,43.1,66.3,0.118,79,"2,330",323,682,47.40%,12,47,25.50%,143,200,71.50%,801,392,191,156,29.5,10.1,5,2.4,1,1.1,2,2.7,12.4,6.1,3,1.2,1.3,2.4,3.2,17.5,8.6,4.2,1.7,1.8,3.4,4.6,12.1,0.4,3.2,3.6,0.075,55,27,No,0,0,0,0,0,0,133,"3,756",572,"1,249",45.80%,129,348,37.10%,319,430,74.20%,"1,592",929,188,168,286,289,368,4,28.2,4.3,9.4,12,7,1.4,1.3,2.2,2.2,2.8
1995,20,"Caffey, Jason",Alabama,Chicago Bulls,PF,80,255,462,"9,045",48.10%,0,8,0.00%,63.70%,8,19.6,7.3,4.4,0.9,0.5,0.2,1.4,13.4,8,1.7,0.8,0.4,2.6,4.6,19.5,11.7,2.4,1.2,0.6,12.5,6,7.5,13.5,0.072,57,545,71,162,43.80%,0,1,0.00%,40,68,58.80%,182,111,24,48,9.6,3.2,1.9,0.4,0.2,0.1,0.8,1.6,12,7.3,1.6,0.8,0.5,3.2,6,17.6,10.7,2.3,1.2,0.7,4.6,8.8,7.9,-0.4,0.8,0.4,0.038,72,10,No,0,0,0,0,0,0,119,"2,895",488,959,50.90%,4,18,22.20%,259,448,57.80%,"1,239",751,120,67,67,283,290,4,24.3,4.1,8.1,10.4,6.3,1,0.6,0.6,2.4,2.4
1996,22,"Rogers, Roy",Alabama,Vancouver Grizzlies,PF,82,235,137,"2,309",48.30%,1,2,50.00%,53.20%,3,16.9,4.8,3.5,0.4,0.2,1.5,0.7,10.2,7.5,0.9,0.4,3.3,1.6,4.2,15.1,11.2,1.3,0.6,4.8,12.1,0.2,1.5,1.7,0.035,82,"1,848",244,483,50.50%,1,1,100.00%,54,94,57.40%,543,386,46,86,22.5,6.6,4.7,0.6,0.3,2,1,2.6,10.6,7.5,0.9,0.4,3.2,1.7,4.2,15.9,11.3,1.4,0.6,4.8,2.5,6.3,12.6,0.3,1.1,1.4,0.037,14,68,No,0,0,0,0,0,1,102,"2,082",276,534,51.70%,,,,100,164,61.00%,652,514,54,41,266,125,176,4,20.4,2.7,5.2,6.4,5,0.5,0.4,2.6,1.2,1.7
1993,21,"Robinson, James",Alabama,Portland Trail Blazers,PG,74,180,381,"6,935",39.40%,400,"1,151",34.80%,66.60%,7,18.2,7.6,1.7,1.9,0.5,0.2,1.3,15,3.4,3.7,1.1,0.4,2.6,3.4,21.5,4.9,5.3,1.5,0.5,11.2,1.1,4.7,5.8,0.04,58,673,104,285,36.50%,23,73,31.50%,45,67,67.20%,276,78,68,52,11.6,4.8,1.3,1.2,0.5,0.3,0.9,1.2,14.8,4.2,3.6,1.6,0.8,2.8,3.7,19.9,5.6,4.9,2.2,1.1,3.8,5,10,-0.5,0.7,0.2,0.015,47,35,No,0,0,0,0,0,0,96,"3,134",633,"1,427",44.40%,225,607,37.10%,322,462,69.70%,"1,813",398,187,120,46,277,243,3,32.6,6.6,14.9,18.9,4.1,1.9,1.3,0.5,2.9,2.5
1987,9,"McKey, Derrick",Alabama,Seattle SuperSonics,SF,81,205,937,"27,229",48.60%,203,642,31.60%,77.90%,15,29.1,11,4.7,2.4,1.1,0.7,1.8,13.6,5.8,3,1.4,0.8,2.3,3.6,19.3,8.2,4.2,2,1.1,13.9,31.3,30.6,61.8,0.109,82,"1,706",255,519,49.10%,11,30,36.70%,173,224,77.20%,694,328,107,108,20.8,8.5,4,1.3,0.9,0.8,1.3,2.9,14.6,6.9,2.3,1.5,1.3,2.3,5,19.5,9.2,3,2,1.8,3,6.7,13.8,2.1,2,4.1,0.116,44,38,No,0,0,0,0,0,0,99,"3,044",499,860,58.00%,,,,212,266,79.70%,"1,231",643,132,73,188,177,270,3,30.7,5,8.7,12.4,6.5,1.3,0.7,1.9,1.8,2.7
1986,20,"Johnson, Buck",Alabama,Houston Rockets,SF,79,190,505,"11,849",48.80%,7,62,11.30%,73.80%,7,23.5,9.1,3.5,1.7,0.8,0.5,1.3,14,5.3,2.6,1.2,0.8,2,4.3,18.8,7.2,3.5,1.6,1,11.9,7.4,13.4,20.8,0.084,60,520,94,201,46.80%,0,1,0.00%,40,58,69.00%,228,88,40,37,8.7,3.8,1.5,0.7,0.3,0.3,0.6,1.4,15.8,6.1,2.8,1.2,1,2.6,5.6,21.1,8.1,3.7,1.6,1.4,3.4,7.5,11.8,0.1,0.7,0.7,0.068,42,40,No,0,0,0,0,0,0,122,"4,130",731,"1,353",54.00%,,,,407,551,73.90%,"1,869",933,160,121,115,318,370,4,33.9,6,11.1,15.3,7.6,1.3,1,0.9,2.6,3
1992,24,"Sprewell, Latrell",Alabama,Golden State Warriors,SF,77,190,913,"35,270",42.50%,"1,104","3,272",33.70%,80.40%,13,38.6,18.3,4.1,4,1.4,0.4,2.7,17.1,3.8,3.7,1.3,0.4,2.5,1.7,24.7,5.5,5.4,1.9,0.6,15.1,28.4,27.9,56.3,0.077,77,"2,741",449,968,46.40%,73,198,36.90%,211,283,74.60%,"1,182",271,295,203,35.6,15.4,3.5,3.8,1.6,0.7,2.6,2.2,15.5,3.6,3.9,1.7,0.7,2.7,2.2,20.8,4.8,5.2,2.2,0.9,3.6,2.9,13.6,2.2,1.8,4,0.07,34,48,Yes,4,1,0,0,1,0,68,"2,131",343,677,50.70%,73,183,39.90%,159,215,74.00%,918,348,136,98,39,146,117,2,31.3,5,10,13.5,5.1,2,1.4,0.6,2.1,1.7
2001,25,"Wallace, Gerald",Alabama,Sacramento Kings,SF,79,215,800,"24,445",47.00%,406,"1,300",31.20%,71.00%,13,30.6,12.4,6,2.1,1.5,0.8,1.8,14.6,7,2.5,1.7,1,2.2,2.7,21.3,10.3,3.7,2.6,1.5,16.5,25,34.6,59.6,0.117,54,430,75,175,42.90%,0,7,0.00%,23,46,50.00%,173,89,27,22,8,3.2,1.6,0.5,0.4,0.1,0.4,0.9,14.5,7.5,2.3,1.6,0.5,1.8,3.9,20.2,10.4,3.2,2.2,0.7,2.6,5.4,13.3,0.1,0.6,0.6,0.071,61,21,Yes,1,0,0,0,3,1,36,824,126,288,43.80%,11,63,17.50%,88,155,56.80%,351,216,55,42,37,86,87,1,22.9,3.5,8,9.8,6,1.5,1.2,1,2.4,2.4
1987,20,"Farmer, Jim",Alabama,Dallas Mavericks,SG,76,190,136,"1,454",42.80%,22,78,28.20%,73.00%,5,10.7,5.3,1.4,0.8,0.3,0,0.9,17.7,4.6,2.7,1,0.1,2.9,4.1,23.2,6,3.6,1.4,0.1,10.9,-0.1,0.8,0.7,0.024,30,157,26,69,37.70%,0,6,0.00%,9,10,90.00%,61,18,16,22,5.2,2,0.6,0.5,0.1,0,0.7,0.6,14,4.1,3.7,0.7,0.2,5,4.1,19.2,5.7,5,0.9,0.3,6.9,5.7,4.4,-0.4,0.1,-0.4,-0.111,53,29,No,0,0,0,0,0,0,111,"2,944",453,957,47.30%,,,,255,325,78.50%,"1,197",390,189,90,7,180,273,4,26.5,4.1,8.6,10.8,3.5,1.7,0.8,0.1,1.6,2.5
